,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
Brayden McNabb,Canada,VGK,30,D,69,3,15,18,42,10,19:42,17:02,0:01,2:37,3,0,0,0,0,14,0,1,1,0,17,0,1,1,0,0.0%,0.132,0.662,0.795,0.153,0.714,0.867,0.000,0.000,0.000,0.043,0.217,0.261,85,3.5%,154,179,0,0,0.00%
Jan Rutta,Czech-Republic,TBL,31,D,76,3,15,18,47,25,16:23,15:11,0:01,1:10,3,0,0,0,0,15,0,0,1,0,18,0,0,1,0,0.0%,0.145,0.723,0.867,0.156,0.780,0.936,0.000,0.000,0.000,0.039,0.197,0.237,86,3.5%,93,71,0,0,0.00%
Jacob Peterson,Sweden,DAL,22,F,65,12,5,17,12,-1,11:03,10:21,0:42,0:00,12,0,0,5,0,4,1,0,1,0,16,1,0,6,0,5.9%,1.001,0.417,1.418,1.070,0.357,1.427,0.000,1.309,1.309,0.185,0.077,0.262,85,14.1%,22,23,59,56,51.30%
Ryan Poehling,United-States,MTL,22,F,57,9,8,17,6,-21,12:11,10:35,1:21,0:14,7,2,0,1,0,8,0,0,0,0,15,2,0,1,0,11.8%,0.777,0.691,1.467,0.696,0.795,1.490,1.543,0.000,1.543,0.158,0.140,0.298,91,9.9%,40,28,227,262,46.42%
Martin Fehervary,Slovakia,WSH,22,D,79,8,9,17,26,15,19:39,17:50,0:02,1:46,7,0,1,2,0,8,0,1,1,0,15,0,2,3,0,0.0%,0.309,0.348,0.657,0.298,0.341,0.639,0.000,0.000,0.000,0.101,0.114,0.215,96,8.3%,251,117,0,0,0.00%
Janne Kuokkanen,Finland,NJD,23,F,57,6,11,17,10,-10,13:29,12:13,0:11,1:03,4,1,1,1,0,11,0,0,0,0,15,1,1,1,0,5.9%,0.468,0.858,1.327,0.344,0.947,1.291,5.389,0.000,5.389,0.105,0.193,0.298,64,9.4%,33,22,2,14,12.50%
Dryden Hunt,Canada,NYR,26,F,76,6,11,17,52,-10,12:17,12:03,0:11,0:01,6,0,0,2,0,11,0,0,1,0,17,0,0,3,0,0.0%,0.386,0.707,1.092,0.393,0.720,1.112,0.000,0.000,0.000,0.079,0.145,0.224,94,6.4%,153,17,5,15,25.00%
Brandon Duhaime,United-States,MIN,24,F,80,6,11,17,122,-2,10:13,9:35,0:01,0:35,6,0,0,1,0,11,0,0,2,0,17,0,0,3,0,0.0%,0.440,0.807,1.248,0.469,0.860,1.329,0.000,0.000,0.000,0.075,0.138,0.213,91,6.6%,201,18,8,20,28.57%
Luke Schenn,Canada,VAN,32,D,66,5,12,17,61,15,17:12,15:16,0:02,1:52,4,0,1,1,0,12,0,0,2,0,16,0,1,3,0,0.0%,0.264,0.634,0.898,0.238,0.714,0.952,0.000,0.000,0.000,0.076,0.182,0.258,78,6.4%,273,96,0,0,0.00%
Mike Reilly,United-States,BOS,28,D,70,4,13,17,32,-1,18:56,17:28,0:41,0:46,3,0,1,0,0,10,3,0,3,1,13,3,1,3,1,17.6%,0.181,0.588,0.769,0.147,0.490,0.638,0.000,3.755,3.755,0.057,0.186,0.243,135,3.0%,94,54,0,0,0.00%
David Savard,Canada,MTL,31,D,62,3,14,17,36,-22,20:47,17:55,0:03,2:48,3,0,0,0,0,13,0,1,0,0,16,0,1,0,0,0.0%,0.140,0.652,0.791,0.162,0.702,0.864,0.000,0.000,0.000,0.048,0.226,0.274,66,4.6%,134,127,0,0,0.00%
Jamie Oleksiak,Canada,SEA,29,D,72,1,16,17,54,-1,19:19,17:28,0:04,1:46,1,0,0,0,0,15,0,1,3,0,16,0,1,3,0,0.0%,0.043,0.690,0.733,0.048,0.715,0.763,0.000,0.000,0.000,0.014,0.222,0.236,95,1.1%,182,86,0,0,0.00%
Austin Watson,United-States,OTT,29,F,67,10,6,16,91,-3,11:59,10:30,0:02,1:26,9,0,1,1,0,6,0,0,0,0,15,0,1,1,0,0.0%,0.747,0.448,1.195,0.768,0.512,1.279,0.000,0.000,0.000,0.149,0.090,0.239,88,11.4%,213,63,7,13,35.00%
Luke Glendening,United-States,DAL,32,F,82,9,7,16,15,-17,14:06,11:51,0:02,2:13,9,0,0,1,0,5,0,2,2,0,14,0,2,3,0,0.0%,0.467,0.363,0.829,0.555,0.308,0.864,0.000,0.000,0.000,0.110,0.085,0.195,116,7.8%,179,59,425,299,58.70%
Michael Raffl,Austria,DAL,33,F,76,7,9,16,16,-19,14:32,12:41,0:07,1:43,6,0,1,2,0,7,0,2,2,0,13,0,3,4,0,0.0%,0.380,0.489,0.869,0.373,0.436,0.809,0.000,0.000,0.000,0.092,0.118,0.211,94,7.5%,141,34,14,12,53.85%
Josh Manson,Canada,COL,30,D,67,6,10,16,65,-11,18:58,16:50,0:01,2:06,6,0,0,0,0,10,0,0,0,0,16,0,0,0,0,0.0%,0.283,0.472,0.755,0.319,0.532,0.851,0.000,0.000,0.000,0.090,0.149,0.239,92,6.5%,179,70,0,0,0.00%
Rasmus Sandin,Sweden,TOR,21,D,51,5,11,16,4,9,16:57,15:33,1:20,0:03,5,0,0,3,0,8,3,0,0,0,13,3,0,3,0,18.8%,0.347,0.763,1.110,0.378,0.605,0.983,0.000,2.615,2.615,0.098,0.216,0.314,46,10.9%,88,39,0,0,0.00%
Wayne Simmonds,Canada,TOR,33,F,72,5,11,16,96,-7,9:19,9:06,0:13,0:00,5,0,0,2,0,10,1,0,1,0,15,1,0,3,0,6.3%,0.447,0.982,1.429,0.458,0.915,1.373,0.000,3.822,3.822,0.069,0.153,0.222,79,6.3%,148,11,3,3,50.00%
Marc Staal,Canada,DET,34,D,71,3,13,16,28,-1,17:25,15:10,0:01,2:13,3,0,0,1,0,13,0,0,0,0,16,0,0,1,0,0.0%,0.146,0.631,0.776,0.167,0.724,0.891,0.000,0.000,0.000,0.042,0.183,0.225,76,4.0%,94,75,0,0,0.00%
Rasmus Ristolainen,Finland,PHI,27,D,66,2,14,16,38,-9,21:26,18:51,0:40,1:53,2,0,0,0,0,13,1,0,3,0,15,1,0,3,0,6.3%,0.085,0.594,0.678,0.096,0.626,0.723,0.000,1.334,1.334,0.030,0.212,0.242,97,2.1%,230,125,0,0,0.00%
Carl Grundström,Sweden,LAK,24,F,54,9,6,15,26,4,10:53,10:32,0:14,0:05,9,0,0,1,0,6,0,0,1,0,15,0,0,2,0,0.0%,0.918,0.612,1.530,0.948,0.632,1.580,0.000,0.000,0.000,0.167,0.111,0.278,83,10.8%,134,19,6,12,33.33%
Jimmy Vesey,United-States,NJD,28,F,68,8,7,15,12,-24,14:25,12:08,0:15,2:01,6,0,2,2,0,7,0,0,0,0,13,0,2,2,0,0.0%,0.489,0.428,0.917,0.436,0.509,0.945,0.000,0.000,0.000,0.118,0.103,0.221,110,7.3%,85,29,18,43,29.51%
Darren Helm,Canada,COL,34,F,68,7,8,15,14,-5,10:32,8:35,0:02,1:55,6,0,1,1,0,7,0,1,0,0,13,0,2,1,0,0.0%,0.586,0.669,1.255,0.616,0.719,1.336,0.000,0.000,0.000,0.103,0.118,0.221,93,7.5%,114,27,103,130,44.21%
Cal Clutterbuck,Canada,NYI,34,F,59,6,9,15,10,-6,14:02,11:56,0:05,2:00,5,0,1,1,0,9,0,0,1,0,14,0,1,2,0,0.0%,0.435,0.652,1.086,0.426,0.766,1.192,0.000,0.000,0.000,0.102,0.153,0.254,74,8.1%,229,23,11,4,73.33%
Brandon Carlo,United-States,BOS,25,D,79,6,9,15,31,2,19:42,16:54,0:03,2:44,5,0,1,0,0,8,1,0,1,0,13,1,1,1,0,6.7%,0.231,0.347,0.578,0.225,0.359,0.584,0.000,12.457,12.457,0.076,0.114,0.190,125,4.8%,143,104,0,0,0.00%
Brian Dumoulin,United-States,PIT,30,D,76,3,15,18,24,24,21:49,19:22,0:04,2:22,3,0,0,0,0,15,0,0,5,0,18,0,0,5,0,0.0%,0.109,0.543,0.651,0.122,0.611,0.734,0.000,0.000,0.000,0.039,0.197,0.237,91,3.3%,88,139,0,0,0.00%
Tyler Myers,Canada,VAN,31,D,82,1,17,18,66,15,21:58,19:09,0:21,2:28,1,0,0,0,0,16,1,0,3,0,17,1,0,3,0,5.6%,0.033,0.566,0.599,0.038,0.611,0.649,0.000,2.080,2.080,0.012,0.207,0.220,128,0.8%,145,148,0,0,0.00%
Andreas Athanasiou,Canada,LAK,27,F,28,11,6,17,4,7,15:14,13:29,1:36,0:07,11,0,0,3,1,5,1,0,1,1,16,1,0,4,2,5.9%,1.547,0.844,2.391,1.746,0.794,2.540,0.000,1.326,1.326,0.393,0.214,0.607,71,15.5%,11,10,13,7,65.00%
Jason Zucker,United-States,PIT,29,F,41,8,9,17,15,-2,14:49,13:17,1:30,0:00,6,2,0,0,0,9,0,0,0,0,15,2,0,0,0,11.8%,0.790,0.889,1.679,0.660,0.991,1.651,1.937,0.000,1.937,0.195,0.220,0.415,102,7.8%,66,20,4,11,26.67%
Sean Couturier,Canada,PHI,29,F,29,6,11,17,14,-6,20:23,15:24,2:50,2:08,4,2,0,2,0,7,3,1,2,1,11,5,1,4,1,29.4%,0.609,1.116,1.725,0.537,0.940,1.477,1.460,2.191,3.651,0.207,0.379,0.586,79,7.6%,22,18,238,190,55.61%
Matthew Nieto,United-States,SJS,29,F,70,6,11,17,19,-20,14:24,12:35,0:04,1:45,6,0,0,0,0,11,0,0,1,0,17,0,0,1,0,0.0%,0.357,0.655,1.012,0.409,0.749,1.158,0.000,0.000,0.000,0.086,0.157,0.243,82,7.3%,96,47,2,11,15.38%
Erik Gudbranson,Canada,CGY,29,D,78,6,11,17,68,15,18:07,15:08,0:04,2:54,6,0,0,0,0,11,0,0,4,0,17,0,0,4,0,0.0%,0.255,0.467,0.721,0.305,0.559,0.864,0.000,0.000,0.000,0.077,0.141,0.218,129,4.7%,145,92,0,0,0.00%
Bowen Byram,Canada,COL,20,D,30,5,12,17,12,7,18:48,17:32,0:58,0:17,4,1,0,2,0,12,0,0,0,0,16,1,0,2,0,5.9%,0.532,1.276,1.808,0.456,1.368,1.824,2.065,0.000,2.065,0.167,0.400,0.567,49,10.2%,53,26,0,0,0.00%
Riley Sheahan,Canada,SEA,30,F,69,4,13,17,2,6,12:02,9:54,0:01,2:06,4,0,0,0,0,11,0,2,1,0,15,0,2,1,0,0.0%,0.289,0.939,1.227,0.351,0.966,1.317,0.000,0.000,0.000,0.058,0.188,0.246,69,5.8%,16,28,263,296,47.05%
Brad Hunt,Canada,VAN,33,D,50,3,14,17,12,-3,15:15,14:06,1:06,0:02,3,0,0,0,0,12,2,0,1,0,15,2,0,1,0,11.8%,0.236,1.101,1.337,0.255,1.021,1.276,0.000,2.176,2.176,0.060,0.280,0.340,67,4.5%,22,48,0,0,0.00%
Tomas Nosek,Czech-Republic,BOS,29,F,75,3,14,17,32,-9,13:20,11:29,0:02,1:48,3,0,0,1,0,12,0,2,0,0,15,0,2,1,0,0.0%,0.180,0.839,1.019,0.209,0.835,1.044,0.000,0.000,0.000,0.040,0.187,0.227,84,3.6%,85,34,362,309,53.95%
Trevor Van Riemsdyk,United-States,WSH,30,D,72,1,16,17,40,-3,17:28,14:39,0:09,2:38,1,0,0,0,0,15,0,1,1,0,16,0,1,1,0,0.0%,0.048,0.763,0.811,0.057,0.853,0.910,0.000,0.000,0.000,0.014,0.222,0.236,75,1.3%,25,129,0,0,0.00%
Casey Cizikas,Canada,NYI,30,F,74,10,6,16,48,-3,13:44,11:49,0:04,1:50,9,0,1,3,0,6,0,0,0,0,15,0,1,3,0,0.0%,0.590,0.354,0.944,0.617,0.411,1.028,0.000,0.000,0.000,0.135,0.081,0.216,91,11.0%,138,43,534,427,55.57%
Curtis Lazar,Canada,BOS,26,F,70,8,8,16,16,-2,11:58,10:22,0:00,1:36,8,0,0,0,0,7,0,1,1,0,15,0,1,1,0,0.0%,0.572,0.572,1.145,0.661,0.579,1.240,0.000,0.000,0.000,0.114,0.114,0.229,95,8.4%,186,51,136,143,48.75%
Maxime Comtois,Canada,ANA,22,F,52,6,10,16,46,-17,14:08,12:22,1:36,0:09,6,0,0,0,0,8,2,0,0,0,14,2,0,0,0,12.5%,0.490,0.816,1.306,0.559,0.746,1.305,0.000,1.439,1.439,0.115,0.192,0.308,72,8.3%,111,17,22,24,47.83%
Trevor Lewis,United-States,CGY,34,F,80,6,10,16,12,-1,12:49,11:01,0:05,1:43,5,0,1,1,0,9,1,0,0,0,14,1,1,1,0,6.3%,0.351,0.585,0.936,0.340,0.612,0.953,0.000,8.717,8.717,0.075,0.125,0.200,108,5.6%,176,40,78,104,42.86%
Morgan Frost,Canada,PHI,22,F,55,5,11,16,14,-11,13:55,11:58,1:52,0:04,4,1,0,0,0,10,1,0,1,0,14,2,0,1,0,12.5%,0.392,0.862,1.254,0.365,0.912,1.276,0.581,0.581,1.162,0.091,0.200,0.291,85,5.9%,44,29,226,241,48.39%
Andrew Cogliano,Canada,COL,34,F,74,4,12,16,20,-18,12:40,10:49,0:04,1:46,3,0,1,0,0,11,0,1,0,0,14,0,2,0,0,0.0%,0.256,0.768,1.024,0.225,0.824,1.049,0.000,0.000,0.000,0.054,0.162,0.216,75,5.3%,104,31,8,13,38.10%
Radko Gudas,Czech-Republic,FLA,31,D,77,3,13,16,105,27,18:00,15:53,0:02,2:05,2,0,1,0,0,13,0,0,2,0,15,0,1,2,0,0.0%,0.130,0.562,0.692,0.098,0.637,0.736,0.000,0.000,0.000,0.039,0.169,0.208,100,3.0%,355,118,0,0,0.00%
Brandon Tanev,Canada,SEA,30,F,30,9,6,15,13,4,14:34,12:57,0:12,1:26,6,2,1,3,0,6,0,0,0,0,12,2,1,3,0,13.3%,1.236,0.824,2.059,0.927,0.927,1.853,18.653,0.000,18.653,0.300,0.200,0.500,51,17.7%,98,22,1,1,50.00%
Joseph Veleno,Canada,DET,21,F,66,8,7,15,22,-14,13:13,12:28,0:24,0:20,8,0,0,0,0,7,0,0,0,0,15,0,0,0,0,0.0%,0.550,0.481,1.032,0.583,0.510,1.094,0.000,0.000,0.000,0.121,0.106,0.227,73,11.0%,123,25,222,238,48.26%
Tyler Motte,United-States,NYR,26,F,58,7,8,15,22,2,14:00,12:03,0:07,1:49,6,0,1,1,0,8,0,0,1,0,14,0,1,2,0,0.0%,0.517,0.591,1.107,0.514,0.686,1.200,0.000,0.000,0.000,0.121,0.138,0.259,101,6.9%,117,58,11,8,57.89%
Juho Lammikko,Finland,VAN,25,F,75,7,8,15,14,-6,12:16,10:48,0:06,1:20,7,0,0,2,0,8,0,0,1,0,15,0,0,3,0,0.0%,0.456,0.521,0.978,0.518,0.592,1.110,0.000,0.000,0.000,0.093,0.107,0.200,67,10.5%,93,46,354,340,51.01%
Jordan Martinook,Canada,CAR,29,F,59,6,9,15,22,1,11:12,10:39,0:01,0:30,6,0,0,2,0,9,0,0,3,0,15,0,0,5,0,0.0%,0.545,0.817,1.362,0.572,0.858,1.430,0.000,0.000,0.000,0.102,0.153,0.254,77,7.8%,83,11,23,28,45.10%
Zach Aston-Reese,United-States,ANA,27,F,69,5,10,15,28,9,13:02,11:29,0:01,1:30,5,0,0,0,0,10,0,0,2,0,15,0,0,2,0,0.0%,0.333,0.667,1.000,0.378,0.756,1.134,0.000,0.000,0.000,0.072,0.145,0.217,78,6.4%,231,42,4,4,50.00%
Ryan Lindgren,United-States,NYR,23,D,78,4,11,15,48,18,20:06,17:47,0:04,2:14,4,0,0,1,0,11,0,0,3,0,15,0,0,4,0,0.0%,0.153,0.421,0.574,0.173,0.475,0.648,0.000,0.000,0.000,0.051,0.141,0.192,73,5.5%,129,141,0,0,0.00%
Andrew Peeke,United-States,CBJ,23,D,82,2,13,15,60,-14,21:27,18:10,0:03,3:12,2,0,0,0,0,13,0,0,1,0,15,0,0,1,0,0.0%,0.068,0.443,0.511,0.080,0.523,0.604,0.000,0.000,0.000,0.024,0.159,0.183,72,2.8%,191,169,0,0,0.00%
Maxim Mamin,Russia,FLA,26,F,40,7,7,14,13,8,11:54,11:48,0:05,0:00,7,0,0,0,0,7,0,0,2,0,14,0,0,2,0,0.0%,0.882,0.882,1.764,0.889,0.889,1.778,0.000,0.000,0.000,0.175,0.175,0.350,49,14.3%,59,17,0,2,0.00%
Yegor Chinakhov,Russia,CBJ,20,F,62,7,7,14,16,-27,12:30,11:15,1:13,0:01,6,1,0,1,0,7,0,0,1,0,13,1,0,2,0,7.1%,0.542,0.542,1.083,0.516,0.602,1.118,0.787,0.000,0.787,0.113,0.113,0.226,98,7.1%,50,16,0,6,0.00%
Joel Armia,Finland,MTL,28,F,60,6,8,14,14,-15,13:43,11:30,0:47,1:25,4,1,1,0,0,6,2,0,0,0,10,3,1,0,0,21.4%,0.437,0.583,1.020,0.348,0.521,0.869,1.252,2.504,3.757,0.100,0.133,0.233,103,5.8%,104,27,3,14,17.65%
Adam Gaudette,United-States,OTT,25,F,58,5,9,14,17,-9,11:19,10:10,1:09,0:00,3,2,0,1,0,9,0,0,2,0,12,2,0,3,0,14.3%,0.457,0.823,1.279,0.305,0.916,1.221,1.797,0.000,1.797,0.086,0.155,0.241,94,5.3%,72,10,56,71,44.09%
Jacob Middleton,Canada,MIN,25,D,66,4,10,14,82,10,18:41,16:53,0:10,1:36,4,0,0,0,0,8,1,1,0,0,12,1,1,0,0,7.1%,0.195,0.487,0.681,0.215,0.430,0.646,0.000,5.092,5.092,0.061,0.152,0.212,73,5.5%,118,124,0,0,0.00%
Jake Muzzin,Canada,TOR,32,D,47,3,11,14,16,-6,20:43,17:52,0:14,2:36,3,0,0,0,0,10,0,1,3,0,13,0,1,3,0,0.0%,0.185,0.678,0.862,0.214,0.714,0.928,0.000,0.000,0.000,0.064,0.234,0.298,75,4.0%,105,60,0,0,0.00%
Marco Scandella,Canada,STL,31,D,70,3,11,14,18,17,18:08,15:55,0:01,2:11,3,0,0,0,0,9,0,2,2,0,12,0,2,2,0,0.0%,0.142,0.520,0.662,0.161,0.484,0.646,0.000,0.000,0.000,0.043,0.157,0.200,76,4.0%,106,70,0,0,0.00%
Colin Miller,Canada,BUF,29,D,38,2,12,14,21,-2,18:58,16:25,1:27,1:06,2,0,0,0,0,9,3,0,2,0,11,3,0,2,0,21.4%,0.166,0.998,1.165,0.192,0.866,1.058,0.000,3.252,3.252,0.053,0.316,0.368,48,4.2%,50,42,0,0,0.00%
Zdeno Chara,Slovakia,NYI,44,D,72,2,12,14,85,8,18:43,16:56,0:03,1:44,2,0,0,0,0,12,0,0,3,0,14,0,0,3,0,0.0%,0.089,0.534,0.623,0.098,0.591,0.689,0.000,0.000,0.000,0.028,0.167,0.194,81,2.5%,125,90,0,0,0.00%
Erik Brännström,Sweden,OTT,22,D,53,0,14,14,30,-17,19:46,16:52,2:07,0:46,0,0,0,0,0,8,6,0,4,1,8,6,0,4,1,42.9%,0.000,0.802,0.802,0.000,0.537,0.537,0.000,3.205,3.205,0.000,0.264,0.264,86,0.0%,39,59,0,0,0.00%
Steven Lorentz,Canada,CAR,25,F,67,8,5,13,8,0,10:53,10:26,0:01,0:25,8,0,0,1,0,5,0,0,0,0,13,0,0,1,0,0.0%,0.658,0.411,1.069,0.686,0.429,1.115,0.000,0.000,0.000,0.119,0.075,0.194,80,10.0%,67,13,51,61,45.54%
Nick Bjugstad,United-States,MIN,29,F,57,7,6,13,20,-2,10:15,10:04,0:08,0:02,6,1,0,0,0,6,0,0,0,0,12,1,0,0,0,7.7%,0.718,0.616,1.334,0.627,0.627,1.253,7.895,0.000,7.895,0.123,0.105,0.228,81,8.6%,99,14,141,114,55.29%
Sam Lafferty,United-States,CHI,26,F,56,5,8,13,33,-16,13:34,11:36,0:02,1:55,5,0,0,1,0,8,0,0,1,0,13,0,0,2,0,0.0%,0.395,0.632,1.026,0.462,0.739,1.200,0.000,0.000,0.000,0.089,0.143,0.232,80,6.3%,137,26,108,155,41.06%
Ryan Reaves,Canada,NYR,34,F,69,5,8,13,43,-13,10:38,10:33,0:04,0:00,5,0,0,0,0,8,0,0,1,0,13,0,0,1,0,0.0%,0.408,0.653,1.062,0.412,0.658,1.070,0.000,0.000,0.000,0.072,0.116,0.188,44,11.4%,279,16,5,5,50.00%
Michael Del Zotto,Canada,OTT,31,D,26,3,10,13,4,-4,18:15,16:24,1:23,0:27,2,1,0,0,0,9,1,0,1,0,11,2,0,1,0,15.4%,0.379,1.264,1.643,0.281,1.266,1.548,1.657,1.657,3.315,0.115,0.385,0.500,35,8.6%,42,34,0,0,0.00%
Ben Hutton,Canada,VGK,28,D,58,3,10,13,32,7,15:27,14:43,0:01,0:43,3,0,0,0,0,10,0,0,0,0,13,0,0,0,0,0.0%,0.201,0.669,0.870,0.211,0.703,0.914,0.000,0.000,0.000,0.052,0.172,0.224,78,3.9%,49,72,0,0,0.00%
Dominik Simon,Czech-Republic,ANA,27,F,72,3,10,13,34,0,10:17,9:52,0:24,0:00,3,0,0,1,0,9,1,0,2,0,12,1,0,3,0,7.7%,0.243,0.810,1.053,0.253,0.760,1.013,0.000,2.022,2.022,0.042,0.139,0.181,88,3.4%,72,38,9,12,42.86%
Nick Foligno,United-States,BOS,34,F,64,2,11,13,61,-13,12:27,10:58,1:06,0:23,2,0,0,0,0,10,1,0,2,0,12,1,0,2,0,7.7%,0.150,0.827,0.978,0.171,0.854,1.025,0.000,0.850,0.850,0.031,0.172,0.203,99,2.0%,164,31,22,17,56.41%
Logan Stanley,Canada,WPG,23,D,58,1,12,13,44,1,15:38,13:12,0:01,2:24,1,0,0,1,0,11,0,1,1,0,12,0,1,2,0,0.0%,0.066,0.794,0.860,0.078,0.862,0.940,0.000,0.000,0.000,0.017,0.207,0.224,80,1.3%,131,100,0,0,0.00%
Dylan Demelo,Canada,WPG,28,D,76,1,12,13,28,10,18:29,15:51,0:01,2:36,0,0,1,0,0,11,0,1,0,0,11,0,2,0,0,0.0%,0.043,0.512,0.555,0.000,0.548,0.548,0.000,0.000,0.000,0.013,0.158,0.171,78,1.3%,113,108,0,0,0.00%
Nathan Walker,Australia,STL,27,F,30,8,4,12,2,1,11:32,11:30,0:00,0:01,8,0,0,2,0,4,0,0,0,0,12,0,0,2,0,0.0%,1.386,0.693,2.079,1.391,0.696,2.087,0.000,0.000,0.000,0.267,0.133,0.400,38,21.1%,58,22,8,15,34.78%
Andrew Ladd,Canada,ARI,36,F,51,7,5,12,47,-20,14:07,11:44,1:36,0:45,4,3,0,0,0,4,1,0,0,0,8,4,0,0,0,33.3%,0.583,0.417,1.000,0.401,0.401,0.802,2.187,0.729,2.916,0.137,0.098,0.235,57,12.3%,68,33,7,3,70.00%
J.J. Moser,Switzerland,ARI,21,D,43,4,11,15,16,-10,18:41,15:56,1:12,1:32,3,1,0,1,0,10,1,0,0,0,13,2,0,1,0,13.3%,0.299,0.821,1.120,0.263,0.876,1.138,1.150,1.150,2.300,0.093,0.256,0.349,40,10.0%,32,55,0,0,0.00%
Ilya Lyubushkin,Russia,TOR,27,D,77,2,13,15,51,-2,17:26,15:31,0:01,1:52,2,0,0,0,0,12,0,1,2,0,14,0,1,2,0,0.0%,0.089,0.581,0.670,0.100,0.602,0.702,0.000,0.000,0.000,0.026,0.169,0.195,54,3.7%,187,92,0,0,0.00%
Justin Danforth,Canada,CBJ,28,F,45,10,4,14,10,-5,12:34,11:48,0:17,0:29,10,0,0,1,0,3,1,0,0,0,13,1,0,1,0,7.1%,1.061,0.424,1.485,1.130,0.339,1.468,0.000,4.706,4.706,0.222,0.089,0.311,72,13.9%,85,22,107,92,53.77%
Michael McCarron,United-States,NSH,26,F,51,7,7,14,70,10,10:23,9:10,0:02,1:10,6,0,1,2,0,6,1,0,2,0,12,1,1,4,0,7.1%,0.793,0.793,1.585,0.769,0.769,1.538,0.000,26.667,26.667,0.137,0.137,0.275,51,13.7%,116,31,192,161,54.39%
Dominic Toninato,United-States,WPG,27,F,77,7,7,14,22,1,8:23,6:53,0:02,1:27,6,0,1,1,0,3,1,3,0,0,9,1,4,1,0,7.1%,0.650,0.650,1.299,0.678,0.339,1.017,0.000,18.557,18.557,0.091,0.091,0.182,44,15.9%,92,32,87,118,42.44%
Ethan Bear,Canada,CAR,24,D,58,5,9,14,20,1,16:04,14:35,0:34,0:55,5,0,0,2,0,8,1,0,2,0,13,1,0,4,0,7.1%,0.322,0.579,0.901,0.355,0.567,0.922,0.000,1.790,1.790,0.086,0.155,0.241,97,5.2%,55,41,0,0,0.00%
Nicolas Hague,Canada,VGK,23,D,52,4,10,14,38,6,18:39,16:44,0:22,1:32,4,0,0,0,0,10,0,0,2,0,14,0,0,2,0,0.0%,0.247,0.619,0.866,0.276,0.689,0.965,0.000,0.000,0.000,0.077,0.192,0.269,116,3.5%,57,80,0,0,0.00%
Derek Forbort,United-States,BOS,29,D,76,4,10,14,48,2,18:06,14:59,0:01,3:05,4,0,0,1,0,9,0,1,1,0,13,0,1,2,0,0.0%,0.174,0.436,0.610,0.211,0.474,0.684,0.000,0.000,0.000,0.053,0.132,0.184,64,6.3%,133,100,0,0,0.00%
Carl Hagelin,Sweden,WSH,33,F,53,3,11,14,20,10,14:14,12:18,0:01,1:53,3,0,0,1,0,10,0,1,2,0,13,0,1,3,0,0.0%,0.239,0.875,1.113,0.276,0.919,1.195,0.000,0.000,0.000,0.057,0.208,0.264,71,4.2%,32,12,4,10,28.57%
Marc-Edouard Vlasic,Canada,SJS,34,D,75,3,11,14,18,-22,15:12,14:20,0:02,0:49,3,0,0,0,0,11,0,0,2,0,14,0,0,2,0,0.0%,0.158,0.579,0.736,0.167,0.613,0.781,0.000,0.000,0.000,0.040,0.147,0.187,63,4.8%,54,90,0,0,0.00%
Mario Ferraro,Canada,SJS,23,D,63,2,12,14,16,-5,23:00,19:51,0:31,2:37,2,0,0,1,0,12,0,0,1,1,14,0,0,2,1,0.0%,0.083,0.497,0.580,0.096,0.576,0.672,0.000,0.000,0.000,0.032,0.190,0.222,49,4.1%,140,151,0,0,0.00%
Jonas Siegenthaler,Switzerland,NJD,24,D,70,1,13,14,42,-5,20:34,18:08,0:01,2:23,1,0,0,0,0,12,0,1,2,0,13,0,1,2,0,0.0%,0.042,0.542,0.583,0.047,0.567,0.614,0.000,0.000,0.000,0.014,0.186,0.200,92,1.1%,98,106,0,0,0.00%
Brendan Lemieux,Canada,LAK,25,F,50,8,5,13,97,1,10:44,10:34,0:08,0:01,8,0,0,2,0,5,0,0,1,0,13,0,0,3,0,0.0%,0.893,0.558,1.451,0.907,0.567,1.474,0.000,0.000,0.000,0.160,0.100,0.260,65,12.3%,122,17,11,13,45.83%
Nick Deslauriers,Canada,MIN,30,F,81,8,5,13,113,-11,11:21,10:07,0:01,1:13,7,0,1,1,0,5,0,0,0,0,12,0,1,1,0,0.0%,0.521,0.326,0.847,0.512,0.366,0.879,0.000,0.000,0.000,0.099,0.062,0.160,90,8.9%,263,49,1,3,25.00%
Jansen Harkins,Canada,WPG,24,F,77,7,6,13,15,-8,9:28,9:24,0:03,0:00,7,0,0,0,0,6,0,0,0,0,13,0,0,0,0,0.0%,0.576,0.493,1.069,0.580,0.497,1.077,0.000,0.000,0.000,0.091,0.078,0.169,67,10.5%,51,18,28,16,63.64%
Rasmus Kupari,Finland,LAK,21,F,57,5,8,13,18,-5,11:48,10:42,0:31,0:34,3,1,1,1,0,6,2,0,0,0,9,3,1,1,0,23.1%,0.446,0.714,1.160,0.295,0.590,0.885,1.985,3.969,5.954,0.088,0.140,0.228,51,9.8%,68,17,129,174,42.57%
