,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
Vince Hinostroza,United-States,BUF,27,F,62,13,12,25,24,-11,13:52,13:18,0:10,0:24,12,1,0,2,0,12,0,0,2,0,24,1,0,4,0,4.0%,0.907,0.837,1.744,0.872,0.872,1.745,5.341,0.000,5.341,0.210,0.194,0.403,92,14.1%,25,13,12,16,42.86%
T.J. Oshie,United-States,WSH,35,F,44,11,14,25,18,-12,17:27,13:38,3:29,0:19,7,4,0,1,0,7,6,1,2,0,14,10,1,3,0,40.0%,0.860,1.094,1.954,0.700,0.700,1.400,1.565,2.348,3.913,0.250,0.318,0.568,77,14.3%,86,30,72,97,42.60%
Erik Johnson,United-States,COL,33,D,77,8,17,25,24,22,17:16,14:26,0:13,2:36,7,0,1,1,0,15,1,1,1,0,22,1,2,2,0,4.0%,0.361,0.767,1.127,0.378,0.809,1.186,0.000,3.355,3.355,0.104,0.221,0.325,139,5.8%,165,136,0,0,0.00%
Jake Bean,Canada,CBJ,23,D,67,7,18,25,26,-5,20:34,18:22,1:06,1:05,7,0,0,2,2,13,4,1,4,0,20,4,1,6,2,16.0%,0.305,0.784,1.088,0.341,0.634,0.975,0.000,3.209,3.209,0.104,0.269,0.373,90,7.8%,41,71,0,0,0.00%
John Marino,United-States,PIT,24,D,81,1,24,25,23,1,20:38,17:20,0:55,2:21,1,0,0,0,0,20,2,2,3,1,21,2,2,3,1,8.0%,0.036,0.861,0.897,0.043,0.854,0.897,0.000,1.589,1.589,0.012,0.296,0.309,90,1.1%,73,88,0,0,0.00%
Oliver Wahlstrom,United-States,NYI,21,F,73,13,11,24,74,-6,12:03,10:35,1:28,0:00,8,5,0,2,0,8,3,0,1,0,16,8,0,3,0,33.3%,0.886,0.750,1.636,0.621,0.621,1.242,2.788,1.673,4.461,0.178,0.151,0.329,157,8.3%,101,19,6,8,42.86%
Nic Dowd,United-States,WSH,31,F,64,10,14,24,44,10,14:15,12:14,0:04,1:56,9,0,1,0,0,13,1,0,2,0,22,1,1,2,0,4.2%,0.657,0.920,1.578,0.689,0.995,1.684,0.000,12.811,12.811,0.156,0.219,0.375,90,11.1%,139,53,506,437,53.66%
Filip Zadina,Czech-Republic,DET,22,F,74,10,14,24,10,-24,14:10,12:20,1:50,0:00,6,4,0,1,0,10,4,0,2,1,16,8,0,3,1,33.3%,0.572,0.801,1.373,0.394,0.657,1.051,1.769,1.769,3.538,0.135,0.189,0.324,154,6.5%,57,34,5,5,50.00%
Logan O'Connor,Canada,COL,25,F,81,8,16,24,38,10,13:52,11:44,0:01,2:06,7,0,1,1,0,13,0,3,2,0,20,0,4,3,0,0.0%,0.427,0.854,1.282,0.442,0.820,1.262,0.000,0.000,0.000,0.099,0.198,0.296,127,6.3%,100,59,5,17,22.73%
Brett Pesce,United-States,CAR,27,D,70,7,21,28,39,5,21:42,18:26,0:26,2:48,6,1,0,3,1,19,2,0,6,0,25,3,0,9,1,10.7%,0.276,0.829,1.106,0.279,0.883,1.161,1.909,3.818,5.726,0.100,0.300,0.400,148,4.7%,39,99,0,0,0.00%
Ryan Graves,Canada,NJD,26,D,75,6,22,28,24,-9,20:43,18:13,0:03,2:26,6,0,0,0,0,22,0,0,2,1,28,0,0,2,1,0.0%,0.232,0.849,1.081,0.263,0.966,1.229,0.000,0.000,0.000,0.080,0.293,0.373,111,5.4%,90,135,0,0,0.00%
Samuel Girard,Canada,COL,23,D,67,5,23,28,20,-4,21:38,19:10,1:50,0:38,5,0,0,1,0,16,7,0,3,0,21,7,0,4,0,25.0%,0.207,0.952,1.159,0.234,0.747,0.981,0.000,3.418,3.418,0.075,0.343,0.418,79,6.3%,65,90,0,0,0.00%
T.J. Brodie,Canada,TOR,31,D,82,4,24,28,34,20,21:18,18:51,0:10,2:16,4,0,0,0,0,21,1,2,5,1,25,1,2,5,1,3.6%,0.137,0.824,0.961,0.155,0.815,0.970,0.000,4.128,4.128,0.049,0.293,0.341,68,5.9%,53,106,0,0,0.00%
Michael Rasmussen,Canada,DET,22,F,80,15,12,27,66,-25,14:30,12:23,0:53,1:14,15,0,0,2,0,10,2,0,0,0,25,2,0,2,0,7.4%,0.775,0.620,1.395,0.908,0.605,1.513,0.000,1.695,1.695,0.188,0.150,0.338,128,11.7%,142,65,410,409,50.06%
Arthur Kaliyev,United-States,LAK,20,F,80,14,13,27,37,-3,12:38,10:42,1:56,0:00,8,6,0,2,0,10,3,0,4,0,18,9,0,6,0,33.3%,0.830,0.771,1.601,0.560,0.700,1.260,2.327,1.163,3.490,0.175,0.163,0.338,194,7.2%,31,12,0,0,0.00%
Jordan Greenway,United-States,MIN,24,F,62,10,17,27,69,26,14:33,12:46,0:42,1:04,9,1,0,3,0,16,1,0,2,1,25,2,0,5,1,7.4%,0.665,1.130,1.794,0.682,1.213,1.895,1.358,1.358,2.716,0.161,0.274,0.435,110,9.1%,155,31,18,31,36.73%
Rasmus Asplund,Sweden,BUF,24,F,80,8,19,27,10,-5,14:16,12:31,1:04,0:44,5,2,1,1,1,17,2,0,1,0,22,4,1,2,1,14.8%,0.420,0.998,1.418,0.300,1.018,1.318,1.389,1.389,2.777,0.100,0.238,0.338,130,6.2%,30,14,27,35,43.55%
Jeff Petry,United-States,MTL,34,D,68,6,21,27,36,-11,22:06,18:04,1:43,2:19,6,0,0,1,0,17,3,1,3,1,23,3,1,4,1,11.1%,0.239,0.838,1.077,0.293,0.830,1.123,0.000,1.539,1.539,0.088,0.309,0.397,124,4.8%,140,117,0,0,0.00%
Chris Wideman,United-States,MTL,31,D,64,4,23,27,67,-25,14:52,12:20,2:29,0:02,4,0,0,1,0,11,12,0,2,0,15,12,0,3,0,44.4%,0.252,1.449,1.702,0.304,0.835,1.139,0.000,4.530,4.530,0.063,0.359,0.422,76,5.3%,44,46,0,0,0.00%
Nick Bonino,United-States,SJS,33,F,80,16,10,26,18,-25,16:41,13:14,1:50,1:36,12,3,1,0,0,6,4,0,1,0,18,7,1,1,0,26.9%,0.719,0.449,1.168,0.680,0.340,1.019,1.218,1.624,2.842,0.200,0.125,0.325,137,11.7%,34,102,475,450,51.35%
Vasili Podkolzin,Russia,VAN,20,F,79,14,12,26,26,7,12:47,12:04,0:38,0:04,12,2,0,3,0,11,1,0,2,0,23,3,0,5,0,11.5%,0.831,0.712,1.544,0.755,0.692,1.447,2.347,1.173,3.520,0.177,0.152,0.329,115,12.2%,84,33,8,11,42.11%
Warren Foegele,Canada,EDM,25,F,82,12,14,26,24,-9,12:36,11:54,0:32,0:09,10,2,0,3,0,13,1,0,2,0,23,3,0,5,0,11.5%,0.696,0.812,1.508,0.615,0.799,1.414,2.663,1.331,3.994,0.146,0.171,0.317,142,8.5%,127,15,13,15,46.43%
Kirby Dach,Canada,CHI,20,F,70,9,17,26,43,-18,18:02,15:00,1:55,1:06,7,2,0,0,0,12,4,1,3,1,19,6,1,3,1,23.1%,0.428,0.808,1.236,0.400,0.685,1.085,0.894,1.789,2.683,0.129,0.243,0.371,116,7.8%,49,44,179,366,32.84%
Eetu Luostarinen,Finland,FLA,23,F,78,9,17,26,12,1,13:25,11:27,0:05,1:53,7,0,2,4,1,15,1,1,0,0,22,1,3,4,1,3.8%,0.515,0.974,1.489,0.470,1.008,1.478,0.000,8.200,8.200,0.115,0.218,0.333,84,10.7%,103,46,321,481,40.02%
Jack Eichel,United-States,VGK,25,F,34,14,11,25,10,3,19:23,16:24,2:56,0:02,11,3,0,2,0,6,5,0,1,0,17,8,0,3,0,32.0%,1.274,1.001,2.275,1.184,0.646,1.829,1.795,2.992,4.786,0.412,0.324,0.735,133,10.5%,45,35,184,195,48.55%
Keegan Kolesar,Canada,VGK,24,F,77,7,17,24,68,-6,12:39,11:37,0:28,0:33,5,1,1,0,0,17,0,0,2,0,22,1,1,2,0,4.2%,0.431,1.047,1.478,0.335,1.140,1.475,1.619,0.000,1.619,0.091,0.221,0.312,94,7.5%,246,46,76,112,40.43%
Matt Grzelcyk,United-States,BOS,27,D,73,4,20,24,24,22,18:42,17:08,1:24,0:10,4,0,0,2,1,15,5,0,2,0,19,5,0,4,1,20.8%,0.176,0.878,1.054,0.192,0.719,0.911,0.000,2.907,2.907,0.055,0.274,0.329,118,3.4%,40,83,0,0,0.00%
Nick Leddy,United-States,STL,30,D,75,3,21,24,22,-30,21:24,19:14,1:49,0:21,3,0,0,0,0,15,6,0,3,1,18,6,0,3,1,25.0%,0.112,0.785,0.897,0.125,0.624,0.749,0.000,2.633,2.633,0.040,0.280,0.320,71,4.2%,37,67,0,0,0.00%
Rudolfs Balcers,Latvia,SJS,24,F,61,11,12,23,20,-3,15:02,13:39,0:14,1:08,11,0,0,1,0,11,0,1,2,0,22,0,1,3,0,0.0%,0.720,0.785,1.504,0.792,0.792,1.585,0.000,0.000,0.000,0.180,0.197,0.377,98,11.2%,115,43,8,12,40.00%
Eeli Tolvanen,Finland,NSH,22,F,75,11,12,23,16,-7,13:25,11:34,1:48,0:02,10,1,0,1,0,7,5,0,1,0,17,6,0,2,0,26.1%,0.655,0.715,1.370,0.691,0.484,1.175,0.444,2.221,2.666,0.147,0.160,0.307,151,7.3%,176,45,0,1,0.00%
Anthony Mantha,Canada,WSH,27,F,37,9,14,23,14,4,15:10,13:16,1:52,0:00,9,0,0,0,0,12,2,0,0,0,21,2,0,0,0,8.7%,0.962,1.497,2.459,1.099,1.465,2.564,0.000,1.730,1.730,0.243,0.378,0.622,82,11.0%,46,18,3,1,75.00%
Oscar Sundqvist,Sweden,DET,27,F,59,8,15,23,29,5,13:59,11:40,0:32,1:47,8,0,0,1,0,15,0,0,2,0,23,0,0,3,0,0.0%,0.581,1.090,1.671,0.697,1.307,2.004,0.000,0.000,0.000,0.136,0.254,0.390,70,11.4%,70,29,75,107,41.21%
Sean Monahan,Canada,CGY,27,F,65,8,15,23,24,-15,14:03,11:43,2:15,0:04,3,5,0,2,0,7,8,0,2,0,10,13,0,4,0,56.5%,0.525,0.985,1.510,0.236,0.551,0.788,2.038,3.261,5.299,0.123,0.231,0.354,111,7.2%,59,24,415,364,53.27%
